Column,Method,Sample Name,CAS ,RT,Signal,Matrix ID Name,MeOH,ACN,DMSO,DCM,CHCl3,solute_smiles
BlueBird,method_1,(1-BROMOETHYL)BENZENE,585-71-7,5.607,1,matrix ID BlueBird 1,1,1,1,1,1,CC(Br)c1ccccc1
BlueBird,method_1,"(2,6-Dioxo-piperidin-4-yl)-acetic_acid",6258-28-2,1.146,1,matrix ID BlueBird 1,0,0,1,0,0,Did not work
BlueBird,method_1,(2-BENZYLOXYCARBONYLAMINO-ACETYLAMINO)-ACETIC_ACID,2566-19-0,4.021,1,matrix ID BlueBird 1,0,0,1,0,0,Did not work
BlueBird,method_1,(2S)-2-{[(9H-fluoren-9-ylmethoxy)carbonyl]amino}-4-hydroxybutanoic acid,172525-85-8,3.327,1,matrix ID BlueBird 1,0,0,1,0,0,OCC[C@H](NC(=O)OCC1c2ccccc2c3ccccc13)C(O)=O
BlueBird,method_1,"(2S,5S)-1-Hydroxy-2,5-diphenylphospholane 1-oxide",474049-73-5,5.678,1,matrix ID BlueBird 1,0,0,0,0,1,O[P]1(=O)[C@@H](CC[C@H]1c2ccccc2)c3ccccc3
BlueBird,method_1,"(?S)-4-(1,1-Dimethylethoxy)-?-[[(9H-fluoren-9-ylmethoxy)carbonyl]amino]benzenebutanoic_acid",204384-69-0,6.019,1,matrix ID BlueBird 1,0,0,1,1,1,Did not work
BlueBird,method_1,(R)-(-)-2-Methoxy-2-phenylethanol,17628-72-7,3.983,1,matrix ID BlueBird 1,1,1,1,1,1,CO[C@@H](CO)c1ccccc1
BlueBird,method_1,"(S)-(-)-2-Amino-3-methyl-1,1-diphenyl-1-butanol",78603-95-9,3.412,1,matrix ID BlueBird 1,0,1,1,1,1,CC(C)[C@H](N)C(O)(c1ccccc1)c2ccccc2
BlueBird,method_1,(S)-Benzyl 2-(((S)-1-methoxy-4-methyl-1-oxopentan-2-yl)carbamoyl)pyrrolidine-1-carboxylate,2873-37-2,5.141,1,matrix ID BlueBird 1,1,1,1,1,1,COC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)OCc2ccccc2
BlueBird,method_1,"1,1,1-Tris(4-hydroxyphenyl)ethane",27955-94-8,4.627,1,matrix ID BlueBird 1,1,1,1,0,0,CC(c1ccc(O)cc1)(c2ccc(O)cc2)c3ccc(O)cc3
BlueBird,method_1,"1,1,3-Triphenylpropargyl alcohol",1522-13-0,5.897,1,matrix ID BlueBird 1,1,1,1,1,1,OC(C#Cc1ccccc1)(c2ccccc2)c3ccccc3
BlueBird,method_1,"1,2-Bis(4-hydroxyphenyl)ethane-1,2-dione",33288-79-8,4.482,1,matrix ID BlueBird 1,1,0,1,0,0,Oc1ccc(cc1)C(=O)C(=O)c2ccc(O)cc2
BlueBird,method_1,"1,3-Bis(trifluoromethyl)-5-bromobenzene",328-70-1,6.098,1,matrix ID BlueBird 1,1,1,1,1,1,FC(F)(F)c1cc(Br)cc(c1)C(F)(F)F
BlueBird,method_1,"1,3-Butanediol-diacrylate",19485-03-1,5.0,1,matrix ID BlueBird 1,1,1,1,1,1,CC(O)CCO.OC(=O)C=C.OC(=O)C=C
BlueBird,method_1,"1,3-Dimethyl 2-[(4-methoxyphenyl)methylene]propanedioate",7443-25-6,5.161,1,matrix ID BlueBird 1,1,1,1,1,1,COC(=O)C(=Cc1ccc(OC)cc1)C(=O)OC
BlueBird,method_1,"1,3-Diphenylacetone_p-tosylhydrazone",19816-88-7,5.892,1,matrix ID BlueBird 1,0,0,0,1,1,Did not work
BlueBird,method_1,"1,4-Bis(bromomethyl)-2,3,5,6-tetrafluorobenzene_",776-40-9,5.895,1,matrix ID BlueBird 1,0,0,0,1,1,Did not work
BlueBird,method_1,"1,4-Cyclohexanedicarboxylic-acid",1076-97-7,3.53,1,matrix ID BlueBird 1,1,0,0,0,1,OC(=O)C1CCC(CC1)C(O)=O
BlueBird,method_1,"1,4-Dibromo-2,3-butanedione",6305-43-7,3.506,1,matrix ID BlueBird 1,1,1,1,1,0,BrCC(=O)C(=O)CBr
BlueBird,method_1,1-(4-Biphenyl)-1-ethanol,3562-73-0,5.167,1,matrix ID BlueBird 1,1,1,0,1,0,Did not work
BlueBird,method_1,"1-(9H-Fluoren-9-ylmethyl) (2S,4S)-4-[[(1,1-dimethylethoxy)carbonyl]amino]-1,2-pyrrolidinedicarboxylate_",221352-74-5,5.559,1,matrix ID BlueBird 1,1,0,1,1,1,Did not work
BlueBird,method_1,1-(tert-Butoxycarbonyl)-4-[(9H-fluoren-9-ylmethoxy)carbonyl]-2-piperazinecarboxylic_acid,218278-58-1,5.7,1,matrix ID BlueBird 1,0,0,1,1,1,Did not work
BlueBird,method_1,1-BROMO-3-METHYLBUTANE,107-82-4,0.0,0,matrix ID BlueBird 1,1,1,1,1,1,CC(C)CCBr
BlueBird,method_1,1-Benzofuran-5-carboxylic_acid,90721-27-0,4.429,1,matrix ID BlueBird 1,0,0,0,0,0,Did not work
BlueBird,method_1,1-Benzylpiperidine,2905-56-8,0.0,0,matrix ID BlueBird 1,1,1,1,1,1,C1CCN(CC1)Cc2ccccc2
BlueBird,method_1,1-Bromo-4-(trifluoromethoxy)benzene,407-14-7,5.937,1,matrix ID BlueBird 1,1,1,1,1,1,FC(F)(F)Oc1ccc(Br)cc1
BlueBird,method_1,1-Bromopentanemethylbenzene,5153-40-2,6.696,1,matrix ID BlueBird 1,0,0,0,1,1,Did not work
BlueBird,method_1,1-Phenyl-5-(trifluoromethyl)-1H-pyrazole-4-carboxylic_acid,98534-81-7,4.911,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
BlueBird,method_1,1-Pyrenemethanol,24463-15-8,5.4,1,matrix ID BlueBird 1,0,0,1,1,1,OCc1ccc2ccc3cccc4ccc1c2c34
BlueBird,method_1,"1-Tosyl-2,5-dihydro-1H-pyrrole",16851-72-2,5.089,1,matrix ID BlueBird 1,0,1,1,1,1,Cc1ccc(cc1)[S](=O)(=O)N2CC=CC2
BlueBird,method_1,"2,2"",4,4""-Tetramethylbenzophenone",3478-88-4,6.309,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
BlueBird,method_1,"2,2,2-TRIFLUOROACETOPHENONE",434-45-7,4.383,1,matrix ID BlueBird 1,1,1,1,0,1,FC(F)(F)C(=O)c1ccccc1
BlueBird,method_1,"2,3,4-Trifluorobenzoic acid",61079-72-9,4.672,1,matrix ID BlueBird 1,1,1,1,1,1,OC(=O)c1ccc(F)c(F)c1F
BlueBird,method_1,"2,3,6,7,10,11-Hexamethoxytriphenylene",808-57-1,5.531,1,matrix ID BlueBird 1,0,0,0,1,0,COc1cc2c(cc1OC)c3cc(OC)c(OC)cc3c4cc(OC)c(OC)cc24
BlueBird,method_1,"2,4,6-Tris(bromomethyl)mesitylene",21988-87-4,6.232,1,matrix ID BlueBird 1,0,0,0,1,0,Cc1c(CBr)c(C)c(CBr)c(C)c1CBr
BlueBird,method_1,"2,4-Dichlorophenol",120-83-2,4.997,1,matrix ID BlueBird 1,1,1,1,1,1,Oc1ccc(Cl)cc1Cl
BlueBird,method_1,"2,6-Bis[(4S)-4-phenyl-2-oxazolinyl]pyridine",174500-20-0,5.362,1,matrix ID BlueBird 1,0,0,0,1,1,C1OC(=N[C@H]1c2ccccc2)c3cccc(n3)C4=N[C@H](CO4)c5ccccc5
BlueBird,method_1,"2,6-Dichloroiodobenzene",19230-28-5,6.045,1,matrix ID BlueBird 1,1,1,1,1,1,Clc1cccc(Cl)c1I
BlueBird,method_1,"2,6-Diisopropylphenol",2078-54-8,5.797,1,matrix ID BlueBird 1,1,1,1,1,1,CC(C)c1cccc(C(C)C)c1O
BlueBird,method_1,"2,6-Dimethoxy-1,4-benzoquinone",530-55-2,3.493,1,matrix ID BlueBird 1,0,0,0,1,1,COC1=CC(=O)C=C(OC)C1=O
BlueBird,method_1,"2,6-Dimethoxybenzoyl_chloride",1989-53-3,3.843,1,matrix ID BlueBird 1,0,0,0,1,1,Did not work
BlueBird,method_1,2-(3-Chlorophenoxy)propionic-acid,101-10-0,4.927,1,matrix ID BlueBird 1,1,1,1,1,1,CC(Oc1cccc(Cl)c1)C(O)=O
BlueBird,method_1,2-(4-Chlorobenzoyl)benzoic_acid,85-56-3,5.135,1,matrix ID BlueBird 1,1,0,1,1,1,Did not work
BlueBird,method_1,2-(Diphenylphosphino)benzoic-acid,17261-28-8,5.731,1,matrix ID BlueBird 1,0,0,1,1,1,OC(=O)c1ccccc1P(c2ccccc2)c3ccccc3
BlueBird,method_1,2-(Trifluoromethyl)pyridine-4-carboxylic_acid,131747-41-6,4.521,1,matrix ID BlueBird 1,1,1,1,0,0,Did not work
BlueBird,method_1,2-Amino-4-phenylphenol,1134-36-7,4.231,1,matrix ID BlueBird 1,0,0,1,0,0,Nc1cc(ccc1O)c2ccccc2
BlueBird,method_1,2-Amino-6-bromopyridine,19798-81-3,4.028,1,matrix ID BlueBird 1,1,1,1,1,1,Nc1cccc(Br)n1
BlueBird,method_1,2-Benzyloxybenzoic_acid ,14389-86-7,5.023,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
BlueBird,method_1,"2-Bromo-2',6'-diisopropoxy-1,1'-biphenyl",870703-70-1,6.433,1,matrix ID BlueBird 1,1,1,1,1,1,CC(C)Oc1cccc(OC(C)C)c1c2ccccc2Br
BlueBird,method_1,2-Bromo-5-(trifluoromethyl)benzaldehyde,102684-91-3,5.538,1,matrix ID BlueBird 1,1,1,1,1,1,FC(F)(F)c1ccc(Br)c(C=O)c1
BlueBird,method_1,2-Bromo-5-chlorotoluene,14495-51-3,6.108,1,matrix ID BlueBird 1,1,1,1,1,1,Cc1cc(Cl)ccc1Br
BlueBird,method_1,2-Bromoanthraquinone,572-83-8,6.069,1,matrix ID BlueBird 1,0,0,1,1,1,Brc1ccc2C(=O)c3ccccc3C(=O)c2c1
BlueBird,method_1,2-Bromonaphthalen-1-ol,771-15-3,5.391,1,matrix ID BlueBird 1,1,1,1,1,1,Oc1c(Br)ccc2ccccc12
BlueBird,method_1,2-Bromophenethylamine,65185-58-2,1.793,1,matrix ID BlueBird 1,1,1,1,1,1,NCCc1ccccc1Br
BlueBird,method_1,2-Bromotoluene,95-46-5,5.8,1,matrix ID BlueBird 1,1,1,1,1,1,Cc1ccccc1Br
BlueBird,method_1,2-Hydroxy-4-(trifluoromethyl)aniline,454-82-0,5.242,1,matrix ID BlueBird 1,0,0,1,0,0,Nc1ccc(cc1O)C(F)(F)F
BlueBird,method_1,2-Iodobenzaldehyde,26260-02-6,5.212,1,matrix ID BlueBird 1,1,1,1,1,1,Ic1ccccc1C=O
BlueBird,method_1,2-Iodobenzyl_bromide,40400-13-3,5.787,1,matrix ID BlueBird 1,0,0,1,1,1,Did not work
BlueBird,method_1,2-Iodopyridine,5029-67-4,4.373,1,matrix ID BlueBird 1,1,1,1,1,1,Ic1ccccn1
BlueBird,method_1,2-Isopropylthioxanthone,5495-84-1,6.361,1,matrix ID BlueBird 1,0,0,0,1,1,CC(C)c1ccc2Sc3ccccc3C(=O)c2c1
BlueBird,method_1,"2-Methyl-5-(trifluoromethyl)-1,3-benzoxazole",175785-41-8,5.205,1,matrix ID BlueBird 1,1,1,1,1,1,Cc1oc2ccc(cc2n1)C(F)(F)F
BlueBird,method_1,"3,3-Dimethyl-1-indanone",26465-81-6,5.04,1,matrix ID BlueBird 1,1,1,1,1,1,CC1(C)CC(=O)c2ccccc12
BlueBird,method_1,"3,4,5-TRIBROMO-1H-PYRAZOLE",17635-44-8,4.899,1,matrix ID BlueBird 1,1,1,1,0,0,Brc1[nH]nc(Br)c1Br
BlueBird,method_1,"3,4,7,8-Tetramethyl-1,10-phenanthroline",1660-93-1,3.473,1,matrix ID BlueBird 1,0,0,0,1,1,Cc1cnc2c(ccc3c(C)c(C)cnc23)c1C
BlueBird,method_1,"3,5-Di-tert-butylbenzoic acid",16225-26-6,5.809,1,matrix ID BlueBird 1,1,1,1,1,1,CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(O)=O
BlueBird,method_1,"3,5-Dibromotoluene",1611-92-3,6.23,1,matrix ID BlueBird 1,1,1,1,0,0,Cc1cc(Br)cc(Br)c1
BlueBird,method_1,"3,5-Dimethylbenzoyl_chloride",6613-44-1,4.754,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
BlueBird,method_1,"3,6-Dimethoxy-9H-carbazole",57103-01-2,5.255,1,matrix ID BlueBird 1,0,1,1,1,1,COc1ccc2[nH]c3ccc(OC)cc3c2c1
BlueBird,method_1,3-(2-Naphthyl)acrylic_acid,51557-26-7,5.054,1,matrix ID BlueBird 1,0,0,1,0,0,Did not work
BlueBird,method_1,3-(Phenylthio)propanoic-acid,5219-65-8,4.682,1,matrix ID BlueBird 1,1,1,1,1,1,OC(=O)CCSc1ccccc1
BlueBird,method_1,3-(tert-Butoxycarbonyl)benzoic_acid,33704-19-7,5.126,1,matrix ID BlueBird 1,1,0,1,1,1,Did not work
